,Made Donation in March 2007
659,0.454199023597
276,0.0899446069162
263,0.293892495889
303,0.293845424256
83,0.493301561904
500,0.745417296462
530,0.321345330227
244,0.120484917844
249,0.0167504989444
728,0.0724984547143
129,0.157668434781
534,0.136151595493
317,0.264006764571
401,0.293892495889
696,0.287658871514
192,0.160507303727
176,0.2151667492
571,0.422914955565
139,0.0666888507749
423,0.294944616985
563,0.403128509822
56,0.305870066036
528,0.351584956887
101,0.293892495889
467,0.253712737446
382,0.300078475328
466,0.332706450861
294,0.120484917844
512,0.300241538082
659,0.454199023597
389,0.31978630424
487,0.0308702061447
701,0.342022339908
419,0.244788956367
536,0.190142741038
240,0.227588564398
508,0.220158556216
515,0.120484917844
283,0.334748637627
650,0.293892495889
65,0.362794477916
228,0.127244976315
741,0.0574507806318
297,0.355835886993
464,0.113826626668
63,0.342022339908
231,0.336423726386
28,0.10639810901
248,0.120484917844
357,0.149637878281
300,0.494850264804
726,0.639999827946
680,0.145342731301
520,0.290010058535
254,0.0413505906812
582,0.178128343809
143,0.213747350058
98,0.379084080842
1,0.29047602927
221,0.493911296778
352,0.293892495889
64,0.115332074995
138,0.253738592901
745,0.375245089116
64,0.115332074995
688,0.0919798171419
623,0.108414692248
289,0.16156470236
174,0.308383179069
690,0.293892495889
105,0.16887136598
427,0.123906427356
48,0.009424732092
14,0.293892495889
657,0.0410538060606
301,0.131753081361
455,0.119691077395
579,0.270921291309
722,0.104748983573
98,0.379084080842
491,0.009424732092
303,0.293845424256
466,0.332706450861
65,0.362794477916
300,0.494850264804
9,0.0592032322888
622,0.160507303727
323,0.0935755691283
289,0.16156470236
568,0.326855623001
290,0.293892495889
156,0.160079980644
464,0.113826626668
426,0.110942754936
306,0.201724749726
4,0.278358883583
12,0.327184502083
187,0.244714239425
406,0.0540320586299
96,0.321345330227
509,0.342022339908
733,0.130023689095
548,0.0587861716999
478,0.227063593629
501,0.165163987858
127,0.392204590802
199,0.192340296565
299,0.404980231405
162,0.293892495889
235,0.114357342689
23,0.192172344387
473,0.293892495889
487,0.0308702061447
683,0.394396132691
303,0.293845424256
309,0.039012759045
569,0.0479705112764
34,0.364050246821
686,0.601854395555
84,0.28424960796
733,0.130023689095
537,0.434873436228
181,0.153989730757
453,0.794294096759
67,0.391351762694
161,0.445788091335
307,0.263462534643
703,0.178652905476
181,0.153989730757
246,0.134832630409
316,0.335000546208
278,0.160507303727
346,0.186581138854
545,0.293892495889
419,0.244788956367
694,0.321345330227
622,0.160507303727
663,0.0673023852891
262,0.580401198352
461,0.258105671361
373,0.8983812033
233,0.293892495889
466,0.332706450861
207,0.213747350058
263,0.293892495889
16,0.0479705112764
513,0.0493783522618
449,0.286889768004
429,0.0301926228977
701,0.342022339908
632,0.0467093397947
529,0.499545517378
245,0.261169377017
344,0.117084226342
353,0.118254205595
241,0.304948008136
633,0.0988467496244
624,0.342022339908
726,0.639999827946
189,0.160507303727
138,0.253738592901
402,0.120484917844
511,0.356178496593
590,0.369758162115
334,0.206798008985
447,0.0693446861238
119,0.332706450861
389,0.31978630424
644,0.293892495889
423,0.294944616985
131,0.0479705112764
405,0.00756066243404
82,0.293892495889
643,0.936071491988
156,0.160079980644
617,0.0557169784921
574,0.370728249802
272,0.269145863436
613,0.0908893286144
545,0.293892495889
685,0.120484917844
570,0.174260349194
537,0.434873436228
691,0.0988467496244
85,0.451776964983
483,0.134832630409
455,0.119691077395
93,0.160507303727
744,0.342022339908
33,0.134832630409
321,0.718436105955
523,0.227922492638
426,0.110942754936
196,0.104961293423
301,0.131753081361
103,0.0988467496244
224,0.0644821475734
454,0.0743737661108
585,0.0495549744699
154,0.326397131625
