,Made Donation in March 2007
659,0.613482170665
276,0.269959711975
263,0.119951758314
303,0.150425795269
83,0.302801073545
500,0.285652600565
530,0.867181335233
244,0.116391046786
249,0.204059582667
728,0.157618958531
129,0.461525604379
534,0.253635438202
317,0.268798694942
401,0.119951758314
696,0.867135177819
192,0.119976895379
176,0.168308118558
571,0.276479791819
139,0.270950274841
423,0.144863106866
563,0.688447875256
56,0.86709347877
528,0.552151450071
101,0.119951758314
467,0.178436501701
382,0.248040961955
466,0.756839008225
294,0.116391046786
512,0.119888265702
659,0.613482170665
389,0.250449020219
487,0.25557009655
701,0.119978403863
419,0.119874161039
536,0.226258452685
240,0.20225053159
508,0.236867203402
515,0.116391046786
283,0.201462010252
650,0.119951758314
65,0.867150245758
228,0.616907351707
741,0.269584635796
297,0.424361889846
464,0.106180130825
63,0.119978403863
231,0.784319990758
28,0.437194762643
248,0.116391046786
357,0.517259624943
300,0.183114141517
726,0.27069823056
680,0.715851407028
520,0.874548511206
254,0.185651745591
582,0.288171309026
143,0.17853702252
98,0.556984197522
1,0.119848173021
221,0.15326092042
352,0.119951758314
64,0.214958684561
138,0.32336973695
745,0.276056196802
64,0.214958684561
688,0.219096261738
623,0.270677646636
289,0.2702906039
174,0.290035574517
690,0.119951758314
105,0.15875629082
427,0.19810797723
48,0.181667838703
14,0.119951758314
657,0.136845572117
301,0.265927253131
455,0.807945069381
579,0.391579636903
722,0.145266207982
98,0.556984197522
491,0.181667838703
303,0.150425795269
466,0.756839008225
65,0.867150245758
300,0.183114141517
9,0.119984739295
622,0.119976895379
323,0.208669167428
289,0.2702906039
568,0.119880996992
290,0.119951758314
156,0.742351325932
464,0.106180130825
426,0.119821793928
306,0.269061174715
4,0.288706487293
12,0.119898065166
187,0.161450516793
406,0.27088546211
96,0.867181335233
509,0.119978403863
733,0.219914646729
548,0.119883085109
478,0.290507227703
501,0.506861720027
127,0.695494646445
199,0.244904123688
299,0.28875112945
162,0.119951758314
235,0.119871372302
23,0.172624024107
473,0.119951758314
487,0.25557009655
683,0.656594436207
303,0.150425795269
309,0.264613427785
569,0.119910463849
34,0.393617837747
686,0.270116256665
84,0.124336085436
733,0.219914646729
537,0.827777253392
181,0.115054878774
453,0.244985983552
67,0.198488771739
161,0.270206223083
307,0.165129327589
703,0.119986958853
181,0.115054878774
246,0.119932044279
316,0.739207333479
278,0.119976895379
346,0.610732864225
545,0.119951758314
419,0.119874161039
694,0.867181335233
622,0.119976895379
663,0.119832288548
262,0.274512892187
461,0.267956458429
373,0.270950279129
233,0.119951758314
466,0.756839008225
207,0.17853702252
263,0.119951758314
16,0.119910463849
513,0.188734044419
449,0.798333877707
429,0.253915106515
701,0.119978403863
632,0.185984088434
529,0.267461750366
245,0.235079997478
344,0.735481403455
353,0.36026451717
241,0.273025766194
633,0.119905089674
624,0.119978403863
726,0.27069823056
189,0.119976895379
138,0.32336973695
402,0.116391046786
511,0.47044602921
590,0.270798936592
334,0.353676327767
447,0.243633341753
119,0.756839008225
389,0.250449020219
644,0.119951758314
423,0.144863106866
131,0.119910463849
405,0.181667838703
82,0.119951758314
643,0.260837176073
156,0.742351325932
617,0.119996085103
574,0.622131207181
272,0.202891794514
613,0.213304311639
545,0.119951758314
685,0.116391046786
570,0.17412430459
537,0.827777253392
691,0.119905089674
85,0.58341828169
483,0.119932044279
455,0.807945069381
93,0.119976895379
744,0.119978403863
33,0.119932044279
321,0.270950520632
523,0.429339522145
426,0.119821793928
196,0.381654657168
301,0.265927253131
103,0.119905089674
224,0.119970537856
454,0.238892377887
585,0.119946881997
154,0.226192674949
