,Made Donation in March 2007
659,0.60088342887
276,0.223310059995
263,0.0826291012939
303,0.106944782422
83,0.25584842989
500,0.239171062634
530,0.883317156216
244,0.0825414889534
249,0.158064167673
728,0.115127389248
129,0.557861174315
534,0.206723411227
317,0.222120777683
401,0.0826291012939
696,0.883403670792
192,0.0825330818455
176,0.124720008483
571,0.229888997541
139,0.224325822163
423,0.110748043641
563,0.721315745608
56,0.883287329938
528,0.491101837503
101,0.0826291012939
467,0.134491016011
382,0.201087236331
466,0.883215196553
294,0.0825414889534
512,0.082564764892
659,0.60088342887
389,0.203498296203
487,0.208674078875
701,0.0825877147764
419,0.0825155099181
536,0.180170943786
240,0.156479184512
508,0.190459896194
515,0.0825414889534
283,0.15075930937
650,0.0826291012939
65,0.883372411453
228,0.883298685166
741,0.222926045344
297,0.184280635775
464,0.0722838257773
63,0.0825877147764
231,0.786300532671
28,0.399374858179
248,0.0825414889534
357,0.489406086892
300,0.138386954159
726,0.224067373611
680,0.694822647182
520,0.890497710793
254,0.140715933524
582,0.24898086898
143,0.133968763852
98,0.542509065766
1,0.082548637296
221,0.111293142377
352,0.0826291012939
64,0.214523516564
138,0.277427732284
745,0.229412799673
64,0.214523516564
688,0.172595961145
623,0.224046389395
289,0.22364948065
174,0.246060974585
690,0.0826291012939
105,0.0824649987905
427,0.15689145808
48,0.137040471105
14,0.0826291012939
657,0.0969192718387
301,0.219187994552
455,0.821421732497
579,0.352348195538
722,0.106667545374
98,0.542509065766
491,0.137040471105
303,0.106944782422
466,0.883215196553
65,0.883372411453
300,0.138386954159
9,0.0825293243295
622,0.0825330818455
323,0.162601869414
289,0.22364948065
568,0.0825295230612
290,0.0826291012939
156,0.748914031712
464,0.0722838257773
426,0.0825770497967
306,0.22243337831
4,0.242276059006
12,0.082531338326
187,0.118534736544
406,0.224259414718
96,0.883317156216
509,0.0825877147764
733,0.173325821543
548,0.0825454152163
478,0.243645161619
501,0.461940050578
127,0.732980663259
199,0.197972197336
299,0.239215680362
162,0.0826291012939
235,0.0825046423793
23,0.123667987264
473,0.0826291012939
487,0.208674078875
683,0.653069705744
303,0.106944782422
309,0.220658150739
569,0.0826087303647
34,0.351847543227
686,0.223346613398
84,0.0832678572152
733,0.173325821543
537,0.854009367027
181,0.103301889486
453,0.198030164276
67,0.152252725786
161,0.223563631556
307,0.155694158981
703,0.0825486652657
181,0.103301889486
246,0.19503307133
316,0.507791435229
278,0.0825330818455
346,0.648351123729
545,0.0826291012939
419,0.0825155099181
694,0.883317156216
622,0.0825330818455
663,0.0825291818535
262,0.227671493919
461,0.221249274453
373,0.224325826557
233,0.0826291012939
466,0.883215196553
207,0.133968763852
263,0.0826291012939
16,0.0826087303647
513,0.143610122089
449,0.73255010534
429,0.207021365217
701,0.0825877147764
632,0.141088742389
529,0.214773707225
245,0.188226255134
344,0.743024745722
353,0.256146000676
241,0.226411364122
633,0.0825473248328
624,0.0825877147764
726,0.224067373611
189,0.0825330818455
138,0.277427732284
402,0.0825414889534
511,0.386251792468
590,0.224171866947
334,0.30767935379
447,0.197278430723
119,0.883215196553
389,0.203498296203
644,0.0826291012939
423,0.110748043641
131,0.0826087303647
405,0.137040471105
82,0.0826291012939
643,0.214018005996
156,0.748914031712
617,0.0825145829723
574,0.532781283958
272,0.156996428985
613,0.167272366252
545,0.0826291012939
685,0.0825414889534
570,0.155952829363
537,0.854009367027
691,0.0825473248328
85,0.566428718555
483,0.19503307133
455,0.821421732497
93,0.0825330818455
744,0.0825877147764
33,0.19503307133
321,0.224326068969
523,0.415546619795
426,0.0825770497967
196,0.341837931449
301,0.219187994552
103,0.0825473248328
224,0.0826231297115
454,0.19198747235
585,0.0824756125425
154,0.179437276206
