,Made Donation in March 2007
659,0.352946560796
276,0.236912853118
263,0.183131708196
303,0.197098329134
83,0.25337672157
500,0.242274836346
530,0.183091560495
244,0.170343151073
249,0.216000048906
728,0.199098175455
129,0.300490103091
534,0.231964729013
317,0.236570881528
401,0.183131708196
696,0.639765965894
192,0.183076776632
176,0.203477790405
571,0.239144043184
139,0.237209544928
423,0.184646059681
563,0.540667370737
56,0.452145071523
528,0.276936901319
101,0.183131708196
467,0.200460980333
382,0.230245384507
466,0.183097987398
294,0.170343151073
512,0.18308216883
659,0.352946560796
389,0.230988166805
487,0.23256067179
701,0.183135914379
419,0.183098126248
536,0.209399124016
240,0.215700504725
508,0.224154977257
515,0.170343151073
283,0.224975322345
650,0.183131708196
65,0.514951726982
228,0.435604646734
741,0.23680128298
297,0.183094532136
464,0.195205437678
63,0.183135914379
231,0.346082592956
28,0.183120408288
248,0.170343151073
357,0.183091190951
300,0.208781657608
726,0.237134143081
680,0.323130041193
520,0.45797825712
254,0.209551942954
582,0.242964168828
143,0.206896552707
98,0.404625826393
1,0.183056075976
221,0.197377912667
352,0.183131708196
64,0.230903956092
138,0.256307185818
745,0.239059343827
64,0.230903956092
688,0.22291556039
623,0.237128042663
289,0.237013552479
174,0.242935433031
690,0.183131708196
105,0.183151445589
427,0.212109107265
48,0.2081383478
14,0.183131708196
657,0.190346985214
301,0.235703471715
455,0.290021251642
579,0.276153555574
722,0.198318713228
98,0.404625826393
491,0.2081383478
303,0.197098329134
466,0.183097987398
65,0.514951726982
300,0.208781657608
9,0.183093786223
622,0.183076776632
323,0.220069317792
289,0.237013552479
568,0.183117631132
290,0.183131708196
156,0.403818427666
464,0.195205437678
426,0.183101395701
306,0.236729015857
4,0.241712960549
12,0.183097902499
187,0.200578521501
406,0.237190168173
96,0.183091560495
509,0.183135914379
733,0.221278234303
548,0.183178181506
478,0.241300665444
501,0.248936304828
127,0.360453128584
199,0.229278715461
299,0.241038711851
162,0.183131708196
235,0.183100547755
23,0.19038982621
473,0.183131708196
487,0.23256067179
683,0.476804134823
303,0.197098329134
309,0.23597305818
569,0.183144175048
34,0.323074615575
686,0.232669404317
84,0.18368598966
733,0.221278234303
537,0.456848475694
181,0.187695422702
453,0.229283709224
67,0.214959610674
161,0.23698558515
307,0.194853326379
703,0.18305684191
181,0.187695422702
246,0.183130417259
316,0.365142893356
278,0.183076776632
346,0.295957023151
545,0.183131708196
419,0.183098126248
694,0.183091560495
622,0.183076776632
663,0.183074130447
262,0.239423609039
461,0.236349370753
373,0.237209546209
233,0.183131708196
466,0.183097987398
207,0.206896552707
263,0.183131708196
16,0.183144175048
513,0.210694912003
449,0.293850255839
429,0.232051939797
701,0.183135914379
632,0.209696361972
529,0.218720017325
245,0.226096481472
344,0.288559165498
353,0.268563861034
241,0.237924157025
633,0.183031758206
624,0.183135914379
726,0.237134143081
189,0.183076776632
138,0.256307185818
402,0.170343151073
511,0.238193828191
590,0.237154767364
334,0.26413700536
447,0.228853735823
119,0.183097987398
389,0.230988166805
644,0.183131708196
423,0.184646059681
131,0.183144175048
405,0.2081383478
82,0.183131708196
643,0.23414684783
156,0.403818427666
617,0.183066004021
574,0.218215856441
272,0.215621660998
613,0.219272955236
545,0.183131708196
685,0.170343151073
570,0.211390993401
537,0.456848475694
691,0.183031758206
85,0.338922271775
483,0.183130417259
455,0.290021251642
93,0.183076776632
744,0.183135914379
33,0.183130417259
321,0.237209630195
523,0.306914307897
426,0.183101395701
196,0.247959005861
301,0.235703471715
103,0.183031758206
224,0.183099181523
454,0.227382328299
585,0.18310432961
154,0.223329822405
